"kode";"jenis";"nama"
"1101072014";"Kelurahan/Desa";"Ujung Padang"
"1101072015";"Kelurahan/Desa";"Sawang Ba'u"
"1101080000";"Kecamatan";"Tapaktuan"
"1101082001";"Kelurahan/Desa";"Lhok Keutapang"
"1101082002";"Kelurahan/Desa";"Hilir"
"1101082003";"Kelurahan/Desa";"Padang"
"1101082004";"Kelurahan/Desa";"Hulu"
"1101082005";"Kelurahan/Desa";"Jambo Apha"
"1101082006";"Kelurahan/Desa";"Tepi Air"
"1101082007";"Kelurahan/Desa";"Pasar"
"1101082008";"Kelurahan/Desa";"Lhok Bengkuang"
"1101082009";"Kelurahan/Desa";"Panton Luas"
"1101082010";"Kelurahan/Desa";"Gunung Kerambil"
"1101082011";"Kelurahan/Desa";"Air Berudang"
"1101082012";"Kelurahan/Desa";"Batu Itam"
"1101082013";"Kelurahan/Desa";"Panjupian"
"1101082014";"Kelurahan/Desa";"Lhok Rukam"
"1101082015";"Kelurahan/Desa";"Air Pinang"
"1101082016";"Kelurahan/Desa";"Lhok Bengkuang Timur"
"1101090000";"Kecamatan";"Trumon"
"1101092001";"Kelurahan/Desa";"Keude Trumon"
"1101092002";"Kelurahan/Desa";"Ujong Tanoh"
"1101092003";"Kelurahan/Desa";"Sigleng"
"1101092004";"Kelurahan/Desa";"Ie Meudama"
"1101092005";"Kelurahan/Desa";"Tuepin Tinggi"
"1101092006";"Kelurahan/Desa";"Kuta Baro"
"1101092007";"Kelurahan/Desa";"Panton Bilie"
"1101092012";"Kelurahan/Desa";"Kuta Padang"
"1101092013";"Kelurahan/Desa";"Raket"
"1101092014";"Kelurahan/Desa";"Gampong Teungoh"
"1101092015";"Kelurahan/Desa";"Seuneubok  Jaya"
"1101092016";"Kelurahan/Desa";"Padang Harapan"
"1101100000";"Kecamatan";"Pasi Raja"
"1101102001";"Kelurahan/Desa";"Ladang Teungoh"
"1101102002";"Kelurahan/Desa";"Pucok Krueng"
"1101102003";"Kelurahan/Desa";"Silolo"
"1101102004";"Kelurahan/Desa";"Kampung Baru"
"1101102005";"Kelurahan/Desa";"Panton Bili"
"1101102006";"Kelurahan/Desa";"Paya Ateuk"
"1101102007";"Kelurahan/Desa";"Ladang Tuha"
